Id;Tweets
80;good a.m. feeling a little better, but I have a dry cough. ugh. @mzjewelz14 I watched it last night!  I hope it's publicity stunt!
81;Back to school, hopefully I can get into Beginning Piano 
82;i'm with my best friend twitter.com/liveinadreeam 
83;"@PRNewswire are you actually going to &quot;talk&quot; to each other or are you just going to hear the clicks of texting "
84;@j2s Michelle and I were just discussing how sad we are we can't be there! GOOD LUCK!!  Praying for you guys!
85;The reason i wake up. 
86;thought of writing a footnote inside a footnote but seems like it's not possible with LaTeX 
87;@VeronicaEbie sounds like a good idea, im in! 
88;I missed taking a ride with someone in a R8 today... awwww...  *sniff*
89;@lrobertsglobal yay!  now nudge catherine.  
90;@poppytalk oh, no worries!!  Thank you!!
91;@tracynova http://twitpic.com/61o74 - Am I getting a personalized issue miss? 
92;@Jaykul use what works 
93;@TomPlant PS Your fiance is lovely - no wonder you have that big smile on your face 
94;can not WAIT for holidays ..need some sunhine!!! 
95;@kalyanvarma Its more like.. the guy is retarded  ROFL
96;"says I'll be right back.. dont change ur channel or else  JK lmao ;) http://plurk.com/p/wlcfd"
97;something tells me today will be a good day for me  lets just hope my instincts are right.
98;getting ready for a long day with Rob... dancing all day. 
99;@loripluna Hey, you got a great point there! Never thought of it that way. 
100;excited for peavy @ the white sox...but richards is good 
101;Lots of things to do, re-doing my room 
102;http://twitpic.com/61yot - Good Morning 2 All my Followers thanx 4 following!  Here's a Pic 4 yall..Enjoy
103;says YESS CHAT LAGI  http://plurk.com/p/wlcep
104;Survived talk last night (just!), almost didn't survive the pub afterwards! thanks @barryclearview 
105;Good morning all happy hump day 
106;@joeymcintyre: I love the new background Joey and I emailed the foundation to be a volunteer!  Take Care for now! see you in STL!
107;Nothing like driving with the windows down, wind in your hair, listening to Hotel California 
108;Am really getting fed up of the naysayers in my life. Please leave me alone and disappear 
109;and all the kids of new york will come out and shoot the paparazzi.  ohhh lady gaga you're a nutcase. a friggin hot and talented nutcase
110;@TEarlGrey The next hundred will be even quicker. Tweeting gets easier the more one does it. 
111;with amy 
112;@thelandofnod loving this diaper bag and travel set. Stylish and practical. Would love it for the new baby http://is.gd/GWUV
113;@lcarmell21 hi friend...long time no talk   how are u???
114;@bryancheung Heh. I finished Platinum already with nothing to do now. 
115;Sat in bed, eatingas usual. Horrible outside. 
116;Yeah, you're right. Jonas Brothers are one of the better things in my life right now. My dad died a year ago and mum is in the hospital 
117;Adams/Stern isn't listed on the Pulsewave event listing on Micromusic.net. 
118;finally it is time to go home, but first I will have to sit in traffic!! 
119;@TwilightEarth would love to DM but you are not following me 
120;lying in my bed feeling ill again  about to start watching my fifth film, nothing else to do 
121;looking for some food 
122;BAAAHAHAAHAAAAWWW  Just had to pass on an amazing opportunity. *sulk*
123;@jumpsun hi jumpsun...yeah..we could do with a bit of that right now 
124;Ugh, why does all the cool stuff happen when I'm not free?   http://tr.im/myun
125;My inbox seems to have taken on a life of it's own 
126;has many scars on the face 
127;@Lefreak78 I tried to resend but they wouldn't let me. 
128;@kayceeee  bastards
129;im havin a crap day! arugin with my ex and then my mum and got caught in the rain got on wrong bus  x
130;No-smile policy ain't no laughing matter  http://bit.ly/QSHcZ
131;@jakeyboy26 I would love to... If I could be with you! 
132;Not digging this weather!!  in Milwaukee, WI http://loopt.us/-Rl6RA.t
133;im going to cry.... i gotta add another 14 days till i get my Eastern 'Element' bike, cause im bad with maths and screwed up calculations 
134;I'm getting ready to head out but it's a rainy day!    Not sure if I want to get my big red balls wet...
135;Really sick 
136;@ajuonline wth  Such a bad photograph. Quit embarassing me people!!!
137;we have no juice  water it is! COME ON HEALTHY lol 8-)
138;ugh...my baby has a fever 
139;is at starbucks podium. no money, no coffee. cookie only  http://plurk.com/p/wl1g9
140;off to Jury Duty on such a beautiful morning 
141;@smmtuttle this stuff always happens when we least need it to happen  Sorry.  If you want any ideas on flying with a baby, let me know!
142;"@hollaferheatha oh no  dont feel bad. i wish i was there too girl. btw, love the twitter layout &lt;3"
143;@JaySkillz: good morning... Will you make a mix today?  please! Lol
144;@EtsyDeals I'm so mad at Jon and Kate and I'm not sure what do believe anymore!  I love those kids- but can barely watch the show anymore 
145;Back to work today.  
146;had a good shower but starving for food. 
147;Plane diverted back last night to Chicago due to med. emergency. Plane due out a hear at 4:45 pm. 
148;Hard to believe that only a few days ago I was soaking up the sun in Niagara... back to the sweater today 
149;YAY! Just finished the branding graphics for a weekly news thing for youth church! oh is that the time??? dang... (its around 2am in NZ) 
150;Ate too much last night... 
151;Im a poor guy that dont how to play in facebook...  ....huhuhuhuhu.... 
152;Chemistry in biology is not fun. Not looking forward to next year 
153;back in the office after a fantastic long weekend... and it's raining in ny 
154;lOviin my bed right nOw kinda mad dat auntie cant get my passes 
155;Paxton is sick AGAIN, what the heck? 
156;@jamiecullum omg! it's tonight already! guess i didn't win  have a great time!! xxx
157;Salute To Veteran check in, phones off for a few hours  Twitter text updates are going to blow up my phone!
158;Smashing Pumpkins used to play an awesome cover of this when Melissa and James were still around that is  ? http://blip.fm/~74l1f
159;"@MeHeartRihanna hey  thanks for following me... which one do U think is our girl?? maybe &quot;RiRiFenty&quot;, but i�m still not sure... "
160;FIGURES as soon as we get to the part here we have to get out of the car, Once in a Lifetime comes on. I KNEW THAT WAS GONNA HAPPEN! 
161;@paquinanna Finally! My birthday TB Season 1DVD set arrived today - only 1 day late  I am so excited - will be watching awhile LOL
162;@dheagle93 Sounds good - except  for that last one...I mean, what's the Boo to do in that game?  
163;"@JenicaMarie how did I find out about gyukaku? Ty &amp; I have been going there for 3 years!  we love it there.. We always go to the westw ..."
164;GUESS SHE DONT 
165;I owe such a debt to the person who invented coffee..... 
166;Now that I've got some sugar and coffee the day is looking up 
167;Looove thunder storms  Http://twitpic.com/5zku4
168;@zoebatsparkes  aaw me too =D lol yeah that's a nice pic you've got too 
169;@Wolfgang_ Ooh i never knew thanks! 
170;is looking forward to summer!!  x
171;Fuck you too 
172;@Ingenue_Em I'm glad your sis is OK. 
173;@JenTekk Thanks Jen! Yeah it's back. You have a great day too 
174;"@DreamyObsession lol they are esp when i get to finally make stuff lol &amp;&amp; i feel you bout the weather its sucky here too "
175;i an actually laughing at my own joke...  tee hee 
176;@Lewis_Bennett trust me I've done nothing like all week so far.. And going out tonight so it's all good 
177;At work  http://myloc.me/1O1w
178;@iamdiddy LMAO LMAO.. FOREAL THO.. U WENT IN!!! 
179;@collin5022 lol o. due to some insignificant texts messages on my phone i was obnoxiously awakened.  fml now i cant go back to sleep.
180;@AnnieAreYouOhK iPhone FTW!! 
181;Building houses for cheap! Not really making much money but happy to be working. 
182;At work... having a blast  i know right
183;@SimplyiNK  to conserve trees, this is just my way of making this world a better place 
184;Everybody except Aaron Kim: if you love what Aaron's done for IBM and Web 2.0 - appreciation/parting gift http://bit.ly/FOQVf 
185;@mikegentile I really really really really like you? I'd die to meet you.  we should hang outt in AZ when you come by.
186;@wiama thank you very much, kind sir,,, 
187;@musical_musings Mornin 
188;@weareholdfire http://twitpic.com/61r4b - Closer than Mole has ever got!! 
189;@wildobs Breathtaking!  Good morning from CT 
190;@jennsbookshelf It's nice to be appreciated for your hard work and even better when the interest comes from the person you love 
191;@picsiechick Good enough day for a free hug again? 
192;@rawrawlee lol cheers, I worked it out now 
193;@shortattention subscribed! 
194;SHIT! just finished my cheeseburger, i want another one 
195;Oh, and pretty please retweet!  http://thrdl.es/~/604
196;More housing news.    http://bit.ly/hNb4h
197;about an 1 hour of work left - then swimming 
198;@dannygokey awesome events last night! Can�t wait to see what you do w/ the foundation and your music. Come back to Beloit sometime! 
199;@lightgood Sure can!  Hahaha!  I am listening to music...just quoting!  Hahaha!  I am kinda weird like that!  lol.....that's how I roll!  
200;my interwebz are fine 
201;ah spotted it.... My 100th Tweet.. so proud 
202;I miss being skinny and stylish. I'm all fat and frumpy now. My clothes are just wasting away in my closet   Goal weight, hurry up!!!!
203;@darlabosse come to india,its HOT and DRY for 8 months 
204;@XTINA4EVR web is better  so just switch back to web honey
205;@Dribbby finished all thankAllah  @Karrrin oww kay2 gdlck! @Shesirawr uds nichh km lg bljr aps?
206;@thecalvenigroup outstanding! happy editing. 
207;thinks that Spotify is the best music source in the world 
208;@suziemclean yeppp, he's on now though 
209;@Xensin w00t thx 
210;in keyboarding last day of keyboarding  tomorrow is delanas last day  goin to kelci's house today!!! then church kinda nervous.whatever
211;Im in the best mood right now. Its gonna take a lot to ruin it now.  
212;Asking the question....When you turn your car on, does it return the favor 
213;Worst thing about being woken at 430am is falling asleep at 6am then waking up late. 
214;@steamykitchen the value of you creating far exceeds those tasks.  Outsource em~!  
215;SO bored at work!!!Can't wait till my holiday on friday to turkey!!yay!  x
216;the san angelo first thundercats are virtually unstoppable..we brought home another victory last night..on to the church league playoffs! 
217;I don't like being ill  I hope I get well tomorrow since I'm going to sthlm and maybe meet magma!
218;@janeydee09 AWW are you serious  that's SO pish. I'd do anything for her to follow me, actually like. And Ellen (L)(L)
219;@EricaMC5 Is this the real U Chatz? I need proof LOL there are a lot of imposters, 
220;@tommcfly what's the problem with this room service ? hahaha poor of you ... and, tom, do you like yoda ? 
221;I have about 10 magazines and newspapers on my desk that I want to read... but just can't find the time...  need my own Prof. Dev. Day! 
222;@DavidArchie continuation..I love ur new album! i love all of ur songs! especially YOU CAN!  soo sweet and touching! LOL! XD
223;@BrechtDW Very nice  How is living in Dubai? Your twitpic account has some amazing photos on it!
224;@TomFelton Macs are the best!  Yay for Macs! Congratulations. 
225;@DwightHoward fantastic game last night  well done   1 more
226;@DawnKA Hey Sistah, Do you ever check your phone messages? 
227;"@afromolly AH! Im excited  we're gettin pizzzza ;)"
228;@HungryKryzzy - ANY TIME LOL, I BIN CRACKIN UP ATCHU FOR AGES NOW! KEEP IT UP GIRL. 
229;Thinking about what I will have for dinner tonight.. I will probably be cooking for me, myself and I 
230;@CCArquette congrats  i still watch Friends everyday ..
231;@jedyoong did i name any side - both BN and PR people accuse the govt is in denial and it was the fault of the press not reporting it 
232;I've been a lousy Twitterer the past couple of days. I'll try to make up for it the rest of this week, though. 
233;I liked being off the last 2 days so i think i will use a sick day tomorrow the only thing is how i have none  i guess thats y i play golf
234;Has the stomach flu  or maybe jst a hang over? No its a stomach flu 
235;I don't want to say goodbye to my school :'(''''' I'm So sad because of that thought 
236;plan - clean room (seriously), read blogs, leave comments, clean bathroom. Annoy John. Talk to Tony. 
237;Going to take a photoshoot now 
238;"We DIGG this  &quot;Digg Adds Twitter and Facebook Sharing Options&quot; http://bit.ly/ZdYCd"
239;@sirced Just for that comment, we are going to win tonight 
240;Working on transfer papers, then lunch with Luke. 
241;@bobbiandmike You are one step ahead of me, I need to lose the weight AND grow my hair long to do that! 
242;homee!! gosh, this trip was soooosososossosoos goood, wanna go back 
243;I m skiping all clases today, turn in my paper tomorow 
244;is excited for siquijor and bais 
245;goood morning !!!!!  off to work only half an hour late   have a nice day everyone !!! xoxo
246;@userealbutter Oh no! I rely on you for no typos!! Editing is a b%#$ with this computer!! BTW, need your snail mail addy again 
247;TRYING TO FIND MELLISA 
248;@mizzshellz aww sorry idk how come I passed out sorry about that and good morning 
249;i really hope it doesn't rain todayyyyyy! 
250;http://bit.ly/wGVcz  HELLO KEYHOLE! New Tshirt design 
251;WORK Mode!!!! Will I shoot today or get rained out?  Weather gurus message me your thoughts for Fort Wayne from 6-8 PM.  Thx. 
252;@celrae i will be around the first week in july. bike ride? 
253;what a beauuuuutiful life 
254;@susanholsinger- hey will you please log on to gmail... i need to talk with you... 
255;@pimpanilla done and thanks 
256;Goodmorning  I can't wait till later
257;@Ceiridwenn aha, you should try twitteriffic! It's so much better 
258;Just hacked around cross-size-scripting prevention using proxy rewrite rules 
259;Thanks @te_bone23. don't worry @VampAly. 
260;'I'm the fury in your head, I'm the ghost in the back of yourrrr head.' omg foals sound awsome  New album now? Please?
261;Bought one top  didn't have time to try it on, so fingers crossed it fits. Was v pretty though. Saw a couple of purple dresses that liked
262;Preparing for my presentation - Angle: Jules Remet Trophy 
263;@buggered01 Hey, it's true, you can Twitter from Prison 
264;@Mattass88 Ah, I'm so glad you're home safe and sound.  Got any plans for the next days?
265;Ugh!!!!  CAVS!!!! 
266;@MadameJanae no worries tho. I'm full of energy talking to this kids. I love it. 
267;@FaithfulChosen  Need to leave in 10 minutes myself... I hope @crystalchappell waits for me... 
268;@darthbecca last week we got collards, herbs, lettuce, peas, strawberries, eggs, - and some extras: cornmeal, rice from NC. 
269;Getting ready for work...gonna be another long day. 
270;@hannahsheridann i am i am, i was on looking for cool people, youse dont satisfy me 
271;Make me your Michelle and put your Barack in me! 
272;woke up to storms several times during night, great sound... also woke up several times from DH waking me up so that I wouldn't snore... 
273;Let's Get YOUR Business/Organization Name Circulating InOVER 940,000 Websites LOCALLY!!! http://budurl.com/RoyalReality WhenShallWeTalk?! 
274;@Mburly33 Thanks! 
275;is going to school and doesnt want to.. 
276;but i can't stay away. what can i do? in what way, can i contribute? postings on blog is just for me. it won't do anything 
277;@AllanJYu That was Innersoul. Pops was dissolved and I don't know why. That's what Stef and I were waiting for. But then, it's gone. 
278;"; at school !    working on music projectt        Chilling With Tino And Rozzzz"
279;"@jewelsmyfav @vispandex gross! wasn't nuttn &quot;Spectacular&quot; about dat  more like disturbing."
280;@missheidi: What happened to Miss Molly?? 
281;#BZW @AriaaJaeger @ModelSupplies @amy4669 @entreprediva @tamaraschilling Girls...did I forget any wifes (before i get a DM of her crying 
282;@cdhealy I might join u but right before the match. Need to sort a couple of things on that gap of time 
283;Not having a good day ya'll 
284;so bored she is raiding the fridge 
285;Im hoping my babies feel better 1 has fever 1 has a sore throat 
286;Sittin here ...doin nothing! 
287;Looking for Accredited online MLIS programs. But all require GRE regardless of your GPA.  Mine are too old! Might have to take them over.
288;@badgesaez ...stick to the floor and you have to lever them off with a fish knife so she put them in the garden. Never saw them again 
289;Worked for 12hrs straight     Certainly prefer drinking for 12 hrs straight!
290;"OMG my American Idol alarm went off to remind me AI was on (not like I ever 4gotten!) then 5 secs l8er I was like, &quot;Oh, yeah.&quot; I miss AI "
291;"@pitbull_fan76  I know!!  I wrote a letter &amp; complained to the AKC. "
292;Going to study to the test 2morrow  and watch little gossip girl (:
293;@IAmMsFreeursoul I LOVE U. sorry... 
294;sitting in English with Rosa super bored  txt iit!!!!
295;@VanceStudios Usually I get all dressed up- this morning just started with an hour distance learning from home- now I'm off(and dressed) 
296;@yoyonb87 I know you like rain and I too, there (in Latvia) is rainy too! Only problem- there is also average wind! 
297;@CatherineLawler Wish I could afford one. Sadly at this moment in time I cna't 
298;shares travis will be fine...   http://tinyurl.com/ov3n9a http://plurk.com/p/wlbuu
299;says pe subjects are on! sadly.. no softball!  http://plurk.com/p/wlbuh
300;@MrsSleazy LoL. I'm sorry.  I hope it wasnt anything too scary.
301;off to my internship and when that's over....off to work 
302;Holy Hell, I don't remember secured transactions at all 
303;@tonythaxton NO MCS POSTERS ANYWHERE  i don't like it !! my newly decorated room needs you guys ! xx
304;i'd enjoy the rain if i didn't have to go out in it 
305;im still SO tired 
306;@ether_radio BOO 
307;TIRED!! Majorly Bored of revision! 
308;@atebits new style disappoint me, I could hardly tell the tweet currently being selected. really frustrating 
309;No don't rain! We have a debuton at the shop her pics r today 
310;Mum wont let me stick the #Ferrari badge sticker over the #Chrysler badge sticker on my car 
311;@andilley not even your sister will see you walk 
312;@chaz81 oh did u do the comp ....i have had zilch time to even look ...i dunno if i could make up the time and do it now ???? 
313;I'm planning to hunt down the coffee culprit @ Manpower - that is the person who leaves the dispenser empty all the time 
314;My ankle hurts from the weather 
315;I'm not sure what days I dislike most. It's a close tie btwn Mondays and Wedsendays. 
316;ow, its almost 11:00pm here in the philippines. time 2 sleep!! errrrghh! about 1 week to go, SY:09-10 is going start!! dang! summers over 
317;is very bored 
318;playing catch up from my week away...so much work to do and trying to tend to an injured pup. Poor molly 
319;commercial shoot was cancelled until next week  too gray outside for a nice shot of the building. dressed nice for NOTHING! jk. its cool.
320;Just got Blink-182 tickets. It's bittersweet. I wanted to be so much closer.  Might buy tickets for another show next week too.
321;Stayed up till 130 last night doing my culture box and as I'm walking out the door, I'm attacked by a scorpion 
322;I wasn't invited  http://bit.ly/154hFF
323;Walking home- alannah and i are sad cause rehearsal was cancelled 
324;@thehipinfant1 thanks so  much! i don't.   it's just too costly to ship overseas.
325;I wish I was going to the live diggnation in nyc next week. 
326;Nailed 2/4 and I can see I'll get the rest without too many issues. Bed now, finish on the bus or over lunch. No unity 
327;Ugh. Off to the Doctors now. My mom said that they might scan my stomach with this machine! aaahh! 
328;Trying to muster up motivation to get ready 4 work.  Hard to do when I know I have to work last tonight 
329;@rashfeather   that sucks
330;I guess @IamSpectacular is mad at me. I think I went too far with the jokes   Oh well! To the kitchen I go. The food is calling me
331;CAMP CALVARY? or COLORADO? ............... they both sound so good 
332;@jaclynjacks  yeah i was there sunday. i got there around 5:45 thinking that it'd be going on all night and it was over at 6 
333;this day is so hard  i don't like it!
334;@DJarchaea i know what i am! RIP 
335;It rained today  More like a mini storm, Went to town with @CullenFanChloe, Now watching Twighlight.
336;@archaoes I just get it the plain-vanilla way: by visiting 'em sites. 
337;@M1N10N Needs more green!  Ace start, keep going.
338;@Pink girl, u have style 
339;It's WEDNESDAY! Can't wait for Honor Society's big announcement 
340;@StayGold__ You may rely on it 
341;"hello tweets  been &quot;history revision&quot; at school today, not mcdonalds at all."
342;@lozopus We were pretty close to being mentioned. I hope he reads the comment and changes it  been talking to americans - I'll fwrd you it
343;@Georgecraigono please take me with you in your suitcase?  X
344;"sitting in classs doing nothing &lt;3333 tweet me or text or summit "
345;I'm ONLINE! 
346;Thursday night.  BGT.  George Sampson.  yay 
347;got my braces off, not going to school  muahaha. studyiiing texttt??
348;@LillyVixen i'mm frommmmm essex  n same to you (y) x
349;ER repeats on TNT are great. LOVE the old ones. Last day off til I do 7 on  At least I'm employed.
350;@LeslieIN I liek that one  She's a cutie!!!
351;JonathanMaberry: Working on vampire story 4 anthology.  CJZ: As long as it doesn't interfere w/ PATIENT ZERO sequel  
352;@Gen22 Good. Catching up on twitt and LTT/LTR/Forum..Whew! Its a lot of work. lol. 
353;@uconntam Good call  The whole song is just gleeful and fun. The whole show is great actually. I highly recommend finding a copy.
354;"@OKStateAlumni I love the new &quot;What is Orange&quot; campaign! Great to get us alumni involved &amp; engaged. "
355;@kinkouin hopefully itll work out. ace that test today Ryan 
356;Going Offline now..  Parents demanding that I shut down the computer.  Good night, folks!
357;@mrskutcher Demi, saw your dentist pic in the post,, Must say QUITE INTERESTING  lol
358;@iamdiddy Beautiful song! thanks Diddy 
359;off to sleep!!! bye twitter world!! til then! 
360;@Fearnecotton lovin radio 1  I'm bored bivisin  biology gcse tomorrow!!!!  can you play paramore-brighter please?
361;"make it a late afternoon coffee  but nice tune @DoubleG72: &quot;A smooth downbeat track for your mornin' coffee...&quot; ? http://blip.fm/~74kup"
362;@Fearnecotton lovin radio 1  I'm bored bivisin  biology gcse tomorrow!!!!  can you play paramore-brighter please?
363;@WonderLaura  @tsongvilay1 Sorry.. I am minion #1   @chrisgeier is minion #2 and @Joyknows is minion-by-proxy 
364;@30stshannonleto sounds good!  I know i saw a hotel not far from london eye earlier too going to check that out too and will let you know 
365;is needing to clean his room...but not really wanting to...i'm so lazy! 
366;eats a lot today. That's bad! 
367;@LeesaB Are you from NYC? I lived in Brooklyn 
368;Stayed up last night working.  Now, I am going back to bed 
369;one of my baby brothers is graduating high school today! aww 
370;@DTwyman91 To be fair, this week is half term.  Even if you weren't on study leave you wouldn't be doing any work 
371;@psychokitten nope! Its all gravy still!      ...btw, are you in the US? How did I not know this?
372;@SPProductions for twitter or home?I got some home games 
373;Omw to work phone still broken  should be interesting
374;"@yaseminx3 Yes I do  I have one on my back. It's 3 stars with H,L and K in them, for my mom, dad and bro. I want a new one ;)"
375;DAVID DESROSIERS ITS THE BEST THAT I'VE EVER MET 
376;@ichigojuice: i'm old. T-T ??is it okay for me to annoy you this much? haha. anywaaaay. who's yer fave F4? well the one goo junpyo leads. 
377;"@zackfairsoldier Aww have fun my dear, bring me back a flower  or leaf..or head, not complaining; whatever fits on the mantlepiece"
378;morning tweeters 
379;The one thing I don't like about holidays? New Comic Book Day gets bumped to Thursdays. 
380;@StuckInLaLaLand Good thanks! and yourself? 
381;HAPPY HUMP DAY!!! 
382;First twitter tweet 
383;aaaahh! i woke up late :| goodmorning 
384;Woke up @6AM, then woke up @8:15AM, my inner alarm clock didn't work today 
385;@joelneoh if they are interviewing for the position of 'online research manager', they SHOULD have a twitter acc 
386;@Tayluvsbroadway thanks tay  and yeah its at TPP. Yesterday I sat in on a session. That little girl was not having it!  Was fun tho!
387;Good morning! It was my friend's bday last nite, and my head is paying for it today. Hers is probably worse!! 
388;@colgoni Sweet!  Glad I moved.  Could that source be biased though 
389;@kellie_marlatt THANKS!! I will def have to find them and check them out!! Have a great day tweet friend!!  
390;@ayy_meier i didn't sell my candy 
391;@felipecolombo shit  i think i should study more spanisch in school..i can�t read any word you write on your page!
392;almost done with my script, oy. and hopefully, my parents will let me go to new york for a week! ehhh! school is so close to being over! 
393;"i'm in a really goodmood today,he keep sent me message,school nice,watched angels&amp;demons for free hihi "
394;good morning to everyone! 
395;@beauttweet well kinda, the throat is kinda in your head area... 
396;@raccoontail that would be cool... lunch, sun, good company 
397;the office is freezing. taylor, on crutches, beat me at bowling last night.  I can't bowl.. but i was wearing a periodic table tee shirt
398;@LethalPrincess 
399;At dry cleaners with suit, and of course they're not open yet...Businesses opening at 10am is so frustrating!  http://mypict.me/1O0n
400;@histoire_qc 
401;Twitter helped Guy Sebastian find his guitar!!! http://bit.ly/CyhPW I love you @twitter!!!!!!!!!! 
402;Anddd everything is all good. This is an ok morning 
403;Does this 10am class ever start on time? Noooooo! But if I were late it'd be a prob 
404;yeah! I finally did my work! I hope I get 100! xoxo 
405;@WrenTheDoll your welcome! 
406;Going back to sleep 
407;@iamkelis yayyy! You're back! Luv you Kelis 
408;@WyfrngStrngr lol yeah. i figured.  i deleted some so i've got 8% space now!
409;@pappsBIDDY I would assume u r a OTH fan? Probably following another OTH related twitter 
410;"@laylakayleigh I wasn't calling you out layla just worrying a little about ya ;) when is yur next gig I haven't seen you  in awhile now. "
411;im about ta shower...then itz goin down like syndrome 
412;Atl going to Australia makes me miss last summer so much, I love Australia I want to go back so badly 
413;"I must watch &quot;Filth&quot; on #ABC1 looks like fun. "
414;Lyrics 4 Arabic songs: http://bit.ly/4Mcvt. Enjoy 
415;lots of random things to do today - thankful for a day off 
416;Using http://freindorfollow.com site from @drMollieMarti to weed out people I followed but shouldn't have.  Goodbye Britney.  
417;i gotta go  good byee!!! have a great day!
418;"@g_gila You're most welcome!  And it's a sacrifice we all appreciate! Full of C4, dimples, tongue &amp; sexual innuendos."
