Id;Valoración;Mensaje
47;2;Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?
48;3;Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
49;1;is strangely sad about LiLo and SamRo breaking up. 
50;1;@tea oh! i'm so sorry  i didn't think about that before retweeting.
51;2;Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
52;2;@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. 
53;1;our duck and chicken are taking wayyy too long to hatch 
54;2;Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. 
55;2;I need a hug 
56;2;@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! 
57;4;I LOVE @Health4UandPets u guys r the best!! 
58;2;im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!
59;2;@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. 
60;2;Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup
61;2;@LovesBrooklyn2 he has that effect on everyone 
62;0;@oanhLove I hate when that happens... 
63;1;I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm
64;2;@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!
65;2;@r_keith_hill Thans for your response. Ihad already find this answer 
66;3;@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! 
67;2;@tommcfly ah, congrats mr fletcher for finally joining twitter 
68;0;@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 
69;2;Ugh....92 degrees tomorrow 
70;2;Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
71;2;crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
72;2;@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 
73;2;@nileyjileyluver Haha, don't worry! You'll get the hang of it! 
74;2;@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?
75;2;@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting 
76;3;"@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?"
77;2;Just added tweetie to my new iPhone 
78;2;@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )
79;1;just leaving the parking lot of work! 
80;3;@nicolerichie: your picture is very sweet 
81;2;Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw 
82;1;Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! 
83;2;Didn't place in the Peeps contest but thanks for voting anyways. 
84;3;Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0
85;2;@LittleLumen walking over to put the deposit down tomorrow 
86;2;is now followinq @DAChesterFrench , you shud do tha same 
87;2;"@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? "
88;3;Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 
89;2;@iJohn kitteh is sleepin on my crotch which proves she likes me more 
90;2;@DramaBeats agreed 
91;2;reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ
92;3;The Life is cool. But not for Me. 
93;3;@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 
94;4;happy to spend time with the family. 
95;2;finally going to bed!  so tired. Was gonna watch The Hills but didnt =/
96;1;so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 
97;2;@deon upload di indowebster dong banggggg 
98;1;Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. 
99;3;@wisdomous you're welcome. glad you enjoyed it. 
100;2;@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?
101;3;I had such a nice day. Too bad the rain comes in tomorrow at 5am 
102;2;@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 
103;2;YAY! found a new cuddle buddy 
104;1;"I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! "
105;2;Across the Universe. Sleep. Rehearsal tomorrow. 
106;3;@annabellee dry sweet potato, huh? 
107;4;@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!
108;2;having a long conversation with mom on phone 
109;4;@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? 
110;1;Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  
111;2;@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
112;2;Going to go and read new moon for the 3rd time  I cant get enough of twilight series 
113;3;today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!
114;1;I am bored 
115;2;@stevecla it is a wallpaper with Red Square I was asking for 
116;2;@r_keith_hill Thanks for your response. Ihad already find this answer 
117;2;@Pope_Mello Well yeah! I only noticed cuz i'm BB too. 
118;2;Just tryna get inspired thats all 
119;2;@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. 
120;3;@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well 
121;2;"@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. "
122;2;"#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2"
123;3;Morning Tweetland, a long day ahead! Hope everyone has a great day  
124;2;   uploading pictures on friendster 
125;2;Damm back to school tomorrow 
126;3;"@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p"
127;2;noodlebox with amanda tonight 
128;2;@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend 
129;2;@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol
130;3;loving life... and loving you 
131;4;@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] 
132;3;loves chocolate milk  and that is GF YEAH..
133;2;Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?
134;2;Going to Sutter Creek tomorrow to tour an old Mine 
135;2;@katortiz  Not forever... See you soon!
136;2;@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon 
137;2;@little__fish guess where i live. the other side of the earth  east mesa, losiento
138;2;@Lt_Algonquin agreed, I saw the failwhale allllll day today. 
139;2;@paula_paige3489 so apart from the sore... how was the tryouts? 
140;1;failed physics TEST... what a homo. keeen for the holidays (2 days to go) 
141;4;Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving 
142;2;@leiabox so what can you tell us about it? I'm totally geeking out right now 
143;2;@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to 
144;2;@Rebecca1158 goodnight. 
145;2;My brother is sick too lol. Quite weird 
146;3;@drdrew *gives a hug and a cookie* Hope you feel better! 
147;2;@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs))
148;2;@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
149;2;Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE 
150;4;had a good tech meeting at clubZone - dinner was sushi 
151;2;@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! 
152;2;"@jeffswarens depends on which version they thought you  the one I know doesn't go like that ;)"
153;2;@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much 
154;3;@Honey3223 Lurkers now that was interesting 
155;2;@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote 
156;2;@trstfndbby um I bought my shit from the Koreans its OACH  highest quality out there baby  I paid an extra 3.50 2 get a real tag sewed in
157;2;eating ice-cream with chocolate topping 
158;2;@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!
159;2;@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about 
160;1;@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
161;3;@LaurUy West.  Mostly San Jose and San Francisco.
162;4;Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. 
163;3;@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!
164;2;"shenagians!  my team is awesome&lt;3"
165;2;listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back 
166;3;"I am doing a study of Think &amp; Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! "
167;0;i really hate how people diss my bands!  Trace is clearly NOT ugly!
168;2;Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.
169;1;@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! 
170;2;Why won't you show my location?!   http://twitpic.com/2y2es
171;2;21 Days till chris comes home and 67 days till summer 
172;2;No picnic  my phone smells like citrus.
173;3;@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. 
174;2;No new csi tonight.  FML
175;2;i think my arms are sore from tennis 
176;2;wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
177;0;sleep soon... i just hate saying bye and see you tomorrow for the night. 
178;2;@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine 
179;2;missin' the boo 
180;2;@markhardy1974 Me too  #itm
181;1;Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
182;1;had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too 
183;2;@msdrama hey missed ya at the meeting  sup mama
184;3;My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!
185;2;why is it always the fat ones?! 
186;2;@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*
187;4;@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
188;2;wednesday my b-day! don't know what 2 do!! 
189;1;Poor cameron (the hills) 
190;2;pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache 
191;2;@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike
192;1;Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
193;2;so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....
194;1;hey, I actually won one of my bracket pools! Too bad it wasn't the one for money 
195;2;@stark YOU don't follow me, either  and i work for you!
196;1;A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
197;2; Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
198;2;@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... 
199;1;Behind on my classes for work 
200;2;"watching &quot;House&quot; "
201;2;@kpreyes Remember my bum leg? Strikes back this time its serious 
202;2;@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls 
203;3;Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
204;2;would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
205;2;@Henkuyinepu it's overrated 
206;1;@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times 
207;1;laying in bed with no voice.. 
208;1;I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy
209;1;@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.
210;2;@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. 
211;3;@salancaster  hope your ok.
212;3;@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
213;1;@HibaNick yeah aw but i know i wudnt stand a chance 
214;2;ugh. cant sleep. its 1:30am. 
215;2;Hanging in Crooners. Wanna sing. Can't. Sucks. 
216;2;"@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! "
217;2;Is pissed off that there's no ASBA's for a radio station. 
218;2;wednesday my b-day n don't know what 2 do!  
219;3;I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
220;2;I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
221;1;"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... "
222;2;@allyheman but.. but.. but.. I'm not a big fan on camilla belle 
223;2;@davidgideon Yeah, those were the days  - no, it's now around 1.47ish...
224;3;@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. 
225;2;@its_anne Kay thanks. 
226;2;Goodnight 
227;2;I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? 
228;4;@beycah Good for you Becca, have a good sleep. 
229;2;@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine 
230;2;This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
231;2;@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me 
232;2;"Just seen the preview for the movie &quot;Obsessed&quot; w/ Beyonce. Wow one crazy broad in that movie &amp; Beyonce seems to go nuts in it too! "
233;3;Easy Rider till I fall asleep 
234;2;@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. 
235;3;just had a real good moment. i missssssssss him so much, 
236;2;@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home 
237;2;@jaredleto Just started to work. But it's the last one before holidayholiday!! 
238;2;Watchin Greek then off to Knighty Knight!! 
239;3;i am working on my media room design and i love love love my client profile 
240;3;@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now 
241;2;@Lou911 Aww, thanks 
242;3;Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!
243;2;thinking and planning 
244;3;Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. 
245;2;@missvic what do you mean, I do those things now and I'm OLD! 
246;2;@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843
247;2;@UrbanThai  and you have me to thank for that 
248;1;I'm so cold 
249;3;@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. 
250;1;@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
251;3;@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff
252;2;@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha
253;2;@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have 
254;2;@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! 
255;3;@suitelifeofkell that's freakin' cooool   i love twitter .haha
256;2;@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. 
257;2;Hoping the tummy rumbles go away soon 
258;2;why does Brissa not even know she has a twitter? -Lauren 
259;3;@jbrotherlove I thought it was a great love story 
260;2;@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. 
261;2;@enbaldarlingg No, that's just the mirror you're looking in. 
262;2;@amandahesser thanks!  i couldn't have done it without you  
263;2;"wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter "
264;2;... 31 days until I leave for Ontario!! 
265;2;Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! 
266;2;almost bedtime 
267;2;@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser 
268;2;I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
269;2;@KaciMaureen holy laundry woman! 
270;1;@iamdiddy I hate it too, but I just got back from the trainer. Go! 
271;2;Agh...snow!!! 
272;2;i miss kenny powers 
273;3;@markhoppus lol you?re so fucking funny 
274;2;@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget 
275;2;working on setting up my ipod touch, which as of today is officially mine!! 
276;2;@nikhilnarayanan saw the tvc yesterday.. worked for me 
277;2;Jon could totally say Mannies and Peddies and I would shut my fat face about it.  
278;3;@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. 
279;2;A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. 
280;3;...and, India missed out its 100th Test victory n 10th consecutive win without a loss. 
281;2;@JonathanRKnight I guess that's a no then. 
282;2;@hopeinhell One usually follows the other, no? 
283;2;@special72 Thanks, Special 72!  
284;4;Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak 
285;2;Shoot For The Moon! Even if you miss, you'll land among the stars. 
286;3;"@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too "
287;2;@izzakizza nada just tryna holla holla.   hows the mixtape coming up?
288;2;@aussie_ali  yep it makes it so much easier to get points across in 140 
289;2;@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not.
290;1;sadly is going to bed. 
291;2;http://twitpic.com/2y2jf - my cupcakes 
292;2;@ozesteph1992 Shame to hear this Stephan 
293;2;@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) 
294;2;@mynameisgerard haha! i'm not saying u should try it.. but maybe u should 
295;2;back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!
296;2;@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits 
297;2;@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night
298;2;@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time 
299;2;@mrsaintnick hey! i'm leavin in the morning... 
300;3;@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.
301;1;@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  
302;3;"amazing night with llama and malcolm and megan&lt;---fuck the theatre! "
303;2;Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left 
304;2;@kayotae Just had a martini myself. 
305;4;city all day soo happy to be home. school in the morning 
306;1;laid around too much today... now my head hurts 
307;3;"@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books."
308;2;My spring break= watching moviess all day everyday for a week 
309;2;"@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!"
310;2;my nokia 1110 died..  
311;2;My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
312;3;@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! 
313;2;"http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def."
314;2;shhhhhhhhhh....time to watch the Hills. 
315;3;since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. 
316;2;@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  
317;2;@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' 
318;4;Callin it a night! I always have the best sleep after a good workout!! 
319;3;@Infinitarchitek Feels pretty good doesn't it? 
320;3;Going to sleep. Hoping tomorrow is a better day. 
321;2;@stee322 but you did go to hash bash anyway.. 
322;3;@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too
323;2;@loltothepower correction, i GOT a badass fringe. 
324;1;@onemoreproject that is lame 
325;3;@procoder hmmm, sure sure  so what r u upto ? hows the day for u?
326;3;"@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV"
327;2;My hair is blue. 
328;4;@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night 
329;2;stressing over this math test...uhhh....2 days till spring break!!!! 
330;2;@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH 
331;2;@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN 
332;4;@ijustine the gym is an awesome place! work it out 
333;3;@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then 
334;1;I don't understand... I really don't 
335;3;Just won 20$ on unc game 
336;1;Really tired. Going to prepare for bed. G'night! 
337;2;HEROES just isn't doing it for me this season... 
338;3;@keyannaaa the new story of your life will include magic fountain with me 
339;2;Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol
340;1;should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep 
341;3;@ijustine http://twitpic.com/1ff65 - I love ur top 
342;2;still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... 
343;2;"@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. "
344;2;@juneaurock Hellz yeah, definitely downloading. Thanks 
345;3;http://twitpic.com/2y2jz - we are so stinkin cute 
346;3;Living not downtown sure isn't much fun.  
347;2;@Lyndeeezy hahah not yet! but soon. very soon 
348;3;Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! 
349;2;@michaelgrainger we have much more than that in common my friend!! 
350;2;@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
351;2;Man Work is Hard 
352;2;getting sick  time for some hot tea, studying, and then sleeeep
353;2;Getting eyebrows waxed. More pain 
354;2;No phantasy star yesterday  going to work...
355;3;Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
356;3;Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
357;2;is alone downstairs...working 
358;1;I feel bad for doing it 
359;1;@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. 
360;2;@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
361;1;I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
362;2;Thanks for bursting my bubble 
363;2;Going to school soon... can't find anything to wear!! gosh it's so hard 
364;2;@marieclr I was serious  LOL
365;2;@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
366;1;Crazy wind today = no birding  http://ff.im/1XTTi
367;2;currently at work.. 
368;2;Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
369;4;@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
370;2;i don't see the big deal with this website 
371;1;@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
372;2;@ColinDeMar Far too out of the way for rail.  any other tips?
373;2;I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
374;4;Today I realized I am too good at hiding things, even I can't find it 
375;2;Staying at a friends house...house sitting, neighbors are SO loud-having a party 
376;2;@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
377;2;Check out my mug  http://www.erika-obscura.blogspot.com
378;2;Borders closed at 10 
379;2;"Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days "
380;2;Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
381;1;is watching the hill . . .and its making me sad 
382;2;So many channels.... yet so so boring... lazy day again  may have to find a hobby
383;1;@supersport I miss my buddy  ill be in NY on the 25th
384;2;@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
385;2;Opps.. As I said.. I still got one day remain and now problem come 
386;2;I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb
387;2;@HillyDoP  oH NO
388;4;spencer is not a good guy. 
389;1;@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.
