Id;Tweet
37;uhh I wish someone would include me in their follow friday - would be great to get more followers 
38;just found the house we bid on on an auctino site 
39;@portiaderossi1 welcome to twitter! 
40;@EllensShow hey ellen watching from the Philippines! we're only a day late and uv become a daily ritual for me and my son at dinner 
41;@VeronicaMartian Kurosawa just rocks 
42;@Mojopyro That's nice. Your outlook on mondays kinda sets the tone for the rest of the week. I hope you do have a good monday 
43;loves the rain. but hates it when it's pouring and cold like this before i get ready for work  can I just st... http://plurk.com/p/xvz46
44;"&quot;Happy Mother's Day!&quot; to my fellow Moms. "
45;"I'm on my way back to my car/mechanic &amp; if this doesn't go as hoped... I'll be paying for a new computer chip.  Fingers crossed. #fb"
46;"@JessicaMF So sorry.  Safe travels &amp; peace to you all."
47;@ME215 I know it's just a sprain. It's a repetitive injury for me. 
48;@kpwerker Heh. I am sitting in the parking lot of a small hotel... just to swipe the connection. I won't have one at all for the week. 
49;"that was a 1st &amp; last The trip to UNOs - No bad feelings, but it was a complete bust.  Oh well."
50;@GenePark You'll know when the captain comes on the P.A. system and asks, 'OK, who's the wiseguy with the cell phone?' 
51;@joscie Awwwww, mine has been make since February.  Rebuilding motor, again.
52;Is off to get some work done 
53;What a day... Blog crash  2 hours back up and running http://zzscott.com/blog
54;OMG! noooooooooo I'm soo sad Lauren from the hills isn't gonna b on the show anymore!  soo sad dude!
55;I'm sooo mad I missed the Grand Opening party @ Annex!  (that was the highlight of my day grrr)
56;i'm sitting downstairs with a cuppa, wishing i was still in bed, but i need to get ready  otherwise holly will shoot me!
57;A confession...i am addicted to ritz bits. Help is welcome. 
58;Right, today's jobs are these: 1. Finish Student Finance 2. Jobwork 3. Typography project re-do 4. Jobwork 5. Finish and sleep.  Sun?
59;packingggg! sun, ily 
60;alex ferguson is crazzyy, i lovee it  his team is whackkk! yay
61;"Saving up is too hard! especially when Mathew Willaimson's line for H&amp;M starts thursday!  xo"
62;yeah im thinkin' about killing myself because we have a whole day of maths on monday 
63;"hey hey! this weekend is gonna be superb  just finished watching twilight&lt;3 im so excited for the play on sunday i hope everyhting goes ok"
64;"havent been on all day  hanging out with my mommy&lt;3"
65;@mandiferrrr didnt see u on tv boo 
66;@ittybittieee not exactly for flu. Pero kasama na. Precautionary measures lang. We had a family checkup during thurs-friday eh.  It sucks.
67;@ittybittie And the day before, kinunan pa ko ng dugoooo. It hurtssss 
68;@ittybittieee we're all wondering how you lost it! It's the partying-phone curse!!! I dont want to be next!!! I just got a new phone!! 
69;Photo: serialkiller: I miss you, Kurt.  http://tumblr.com/xws1xuxr4
70;@ittybittieee anot exactly for flu. Pero kasama na. Precautionary measures lang. We had a family checkup during thurs-friday eh.  It sucks
71;@budget_blonde i was very upset the warriors lost 
72;is happy for the Class of '09. '07 is STILL better 
73;@giraffey Hmmm, I thought it was Saturday.  
74;http://tinyurl.com/d3raop 5 miles pushin the tyke  http://tinyurl.com/qh8u9e @athlinks
75;I'm suppose to be watching my favourite drama but I'm still outside. 
76;four chapters left, the end is in sight, now editing chapter 7 on user experience, then 3 development chapters and it is over 
77;Ha Ha Found you, rofpmsl. lmao  how sad. lol
78;@codepo8  people often wonder what the writers were smoking to make such a lousy plot. For T4 they had nothing to smoke, hence the result
79;First day of summer! Still having a sore throat  NEED ICE CREAM!
80;Coke... 
81;@CerebroJD Downloaded the movie in some 1080 goodness last night after losing the DVD.  Love this movie.
82;@duncn They won't. 
83;@_saffron  Why not? :[
84;"@lmacvittie What is &quot;so early&quot; for you? My two little ones get up at 6AM sharp every day "
85;Bah. I had planned to go swimming before work, but just realized I have an early meeting 
86;thought twittering wa easy 
87;EuroElections @ BBC tom?r iev?rojami zaud? Eurovision. Naftal?na smarža pa vis??m š?irb??m. Un p?d?j?? (Eurovision) nav nek??ds standarts 
88;@mileycyrus Congratulation!!!! I love allll your songsss,Miley!!!! 
89;Going to the doctors 
90;I miss my lil sister already 
91;@minxuan following #bizcase then kanna distract by aware la 
92;Took me few hours to discover flex builder stores its lib src under src folder and not under lib 
93;Took me few hours to discover flex its lib src under src folder and not under lib 
94;damn, I'm gonna have to start going to bed earlier soon 
95;Hmm, seems a mix up in names has delayed me starting for another 2 weeks  ... Sometimes I just hate my luck...
96;Have a great Children's day with my great family (even though I'm not a child anymore) ! 
97;"just saw my brother fck up someones hair- ha! Hilarious. Me:HAHAHAHAAA, Guy:&quot;what happened?&quot; Bro:&quot;nothing nigga&quot; "
98;finished 2/5 volumes  and now i only have 529/1024 pages left *sigh* I'm going to miss this series, even though i still cant pronounce it.
99;A's game tonight, bart is packed. And the guy behind me smells of rotting fish. YUMMY!!! 
100;wonders where are the people in this world...  http://plurk.com/p/12q2d9
101;I'm tired and going to sleep soon  good night.
102;dress like shit today. 
103;Oh! 4 hours and 21 minutes to go for 1 hour tweet rest.  
104;goin the store to get some stuff to make meatballs 
105;with derek in NH 
106;says hmm ., I can't think of a nice venue for tomorrow's occasion ...  http://plurk.com/p/rk6ob
107;says i miss HER so much .!!!  http://plurk.com/p/rcxv6
108;kiss the rain wen u need me  (music) http://plurk.com/p/12e9gn
109;hopes she can find an 'alba' tomorrow.  http://plurk.com/p/rd48v
110;Drinking coffee while watching a beautiful sunrise... What else would I want to do? 
111;@LolliGal Thanks for getting that out there!  Look!  I'm following you!  
112;@lovebscott umm nope..think im an insomniac ..plus i got the flu...i'lll be sleepin like a phuckin fish outta water any minute now! 
113;@Reds72 Silly .. of course you have Facebook! 
114;@allyouzombies Ah, now I see the flaws in my assumption. I suppose that's why one shouldn't assume things  Gotta love all the $ for books!
115;Yeah, I should probably get to bed. Here's to hoping that bird keeps its beak shut tonight. Buenas noches a todos. 
116;@thelostofficial Ooh, thank you! I'll definitely have to check that out! 
117;@matiass I can't wait to try it!! 
118;@poorprogrammer now Thailand SPIN start PPQA working group then you can join it if interesting 
119;@Treeman79 DO IT. 
120;@SwithDrawn Sttteeeeeevvvveeee!!! I miss you. Let's hang out when I get back 
121;"@TomVMorris &quot;Tom, cloak on&quot; @ponet BOO "
122;@QuelynnInc about to hit the sack  I'm good. How about yourself. Ping me tomorrow if you catch me in the stream. Goodnight zzzzzzzzzz
123;@GabrielRossi this is so brilliant, I'm going retweet again 
124;heading out for a bike ride. 75f in Chicagoland 
125;OMT = oat meal time  today's combo: oatmeal, molasses, mission bay figs, prunes, cinnamon
126;the guys at Google must be smoking something  http://www.google.com/
127;@GabrielRossi this is so brilliant, I'm going retweet again 
128;@GabrielRossi the only Tweet that could top this would be a DM from President Obama asking me to become the czar of youth empowerment 
129;explaining Burning Man to my son William (12). he's watching the 'Malcolm in the middle - Burning Man' episode 
130;@nancyhunt Goodmorning, I did catch your Tweet re: when wil I next be in NY. Answer: VERY SOON (end June). We will meet 
131;@soneshk greed, short term financial gain mindset, coupled with I want it NOW mentality at any cost got us into this mess. TOXIC DEBT  1/2
132;In school. Just finished a consultation with one of the members of our panel. COMPROMISE  
133;@polyzzz Hey Goddess! How you? FYI, burner died  Sister's gonna work it out. Keep hope alive. LOL
134;@LonoSG can't wait for it's release! 
135;there is a parade outside my window...  hmmm... maybe its for me  
136;from Bulgaria with love   http://stefankanchev.com/
137;@joanncys thanks! haven't get used to the mobile world though 
138;Dope show was great. Can't say I enjoyed BLS. 
139;Okay earthquakes really scare me! 
140;tried to play the wii. the batteries died on me 
141;cupcakes! lots and lots of pretty cupcakes.... 
142;@wirespace   Make more flyers. 
143;@xiangpeng But I have to, I'm using an iPhone 2G 
144;Yes!! i has 100 minutes of Sims 2 plus Seasons  ) fun fun expansions 
145;@popalockin sorry my friend, more studying for tomorrows test 
146;i am a heavy weight champion. HAHA. no.  im not.    
147;@AmalSyazwani awwww its okay.  how do you think you did for paper 1?
148;@AmalSyazwani i shorry bebeh  it okeh ada one more chance.
149;@yenbearr yis  i ryke it.
150;http://twitpic.com/4jesq - @yenbearr look who this. 
151;@yenbearr a lot like love one of your pebrets oso? 
152;my first assignment in my chem class: interview a practicing dentist.. Talk about demanding.. 
153;signing out.. be back in a few minutes 
154;just signed out on plurk and friendster, now signing out here.. Bye 
155;just surfing the net 
156;the classes have been suspended.. too bad my classes aren't  
157;great.. it's raining.. how nice 
158;@brummy_dan  whoops..... not gonna ask....u'll be warm then.... 
159;Belly-auwie 
160;Feeling sorry that I made my bf make me buns 
161;Still working on my paper.  
162;no one wants to wake up at 7:00 and go golfing with me 
163;So sweet ... 
164;I'm feeling creative. And wish I still had all of my art supplies 
165;... and after a very long flight arrived in San Francisco. However, had a good seat with lot of space for the legs 
166;My precious w595 is currently hospitalized.  Miss you! (P.S. the one replacing you now SUCKS.)
167;AHH I WANT http://bit.ly/sqG5P / http://bit.ly/17oQMf VERY VERY BADLY. 
168;*praying really hard now :/* Let me back up my messages pleeeeaaaaseeeee. 
169;Holy cow. Phone disconnected. Back to square one. Reconnect. Inbox (32) C'mon continue scanning! There were at least 200+ just now. 
170;I can't sms properly on the touchscreen. I'll miss my W595 baby.  Glad you're discharged so soon! ?
171;I have an Anatomy Lab Exam tomorrow. Does that type of muscle belongs to the Cat? or Human? ...Dog? 
172;My english is broken 
173;waiting for Pangga to go online 
174;@meewunk Lesbian Spank Inferno! 
175;Had such a fucking blast last night!!! Hope to do it again soon. 
176;currently stuck in my dead end piece of shit job workin 9-8 ,wat a way to make a livin  .   need excitement,need neeeeed excitement
177;@fnfadzil but i know you can do it.. you always do awesome in spite of the time constraint 
178;@Waffcakes update your twitter alreadyyy! sorry i didn't reply your text last night, my phone messed with me 
179;just had chili crab nissin cup noodles! instant gratification 
180;gaining weight cos of pendnisolone. damn lupus sucks 
181;fancy this job  http://bit.ly/Plhy
182;@hongsyok My knowledge may be not enough krub. Just a fan but not a fellow. 
183;@fpugirl just a non-famous down to earth persons blog. Just a dose of real life. 
184;@Darkspyder86 and it's trademarked. Ok. Maybe not 
185;@jarhead2000 now we just need the iCharger, just place any rechargable Apple item on top, come back in an hour and it's @ 100%! 
186;@misecia 
187;@pete_c Ha!  Did you weaken him at all?
188;@reneritchie so you do....  Whats the thinnest case you've ever reviewed? Do you know off hand?
189;@hdm42 yeah. It's when all the people you acctually care about talking to are on! 
190;@msproductions well, it's true 
191;@msproductions  yeah. Once you turn your electronic devices OFF it's easy..... Hard to turn them off tho.
192;@Wo0t I joined, and sorry. 
193;@rasafrasa of course! It's mean not to care about fellow twitterers. 
194;@timstarockz aww  you mean Bigbird?
195;@tedroddy Shoot. You got me to deny something 
196;@macbuddydev yeah 
197;@tedroddy what is that site that checks for errors in your HTML. iWeb CAN'T MAKE A SITE THAT WORKS ON 000webhost. 
198;THIS IS NOT A GOOD DAY TO HAVE A BAD HAIR DAY 
199;Can't believe I missed my 11111th Tweet 
200;@Christyxcore ah. Ok. I want beejive 3.0 
201;@home..! Badd day overall..!   ..! iPod on blast..!    Kinda hungry..!  Whts for dinner..?
202;last night in St.louis!! NYC in the morning 
203;@chakdePAK haha yeah it's mixed emotions i think i am used to the freedom! but i think it will be fine  excited to be around the family!
204;"is going to sleep...sweet dreams  &lt;3"
205;doing nothing 
206;Chennai without Hayden  when punjab can beat Hyd...#IPL #Superbowl #Cricket
207;bangalore has to get past the deccan team on 21st or tuesday agst the daredevils (unlikely  ) #ipl #superbowl
208;@scorpfromhell it's a start but one solo retweet of a trend would not do 
209;@alexosh1234 I can do a better youtube banner for you 
210;Huuuuhh.. Too lazy to do a homework..  http://mypict.me/49GD
211;What the h*ll I'm suppossed to do to get rid of dis d**n flu??!! Sick of it...  http://myloc.me/3T1Z
212;Or... Maybe I just don't have enough friends to share d tweets...   http://myloc.me/3TeF
213;@zimena Me and ri? were looking at it yesterday.  But I don't even like Sims 2 that much. :/
214;@sfdavide Well, if not, he may have given his Mather not a good reputation 
215;Back home from the Shriners Hospital of SLC Kids ride.  Great to see nearly 1000 bikes to raise money for the kids treatments. 
216;"Back home from the racetrack.  Where we were rained  out yet again!  But at least the &quot;Nitro Dogs&quot; were good.  Hot and spicy!! "
217;Good people lift my spirits no end  thank you 
218;@chickpea981 happy bday 
219;@chickpea981 aww cheers babe  sorry im uber slack on the tweets back, really need to remember to check in daily :p
220;@morganabag I don't think old people have as many problems with plumbing, so they probably feel better about themselves.  Hi, Mrs. J!
221; all done., time to finally start shuting down
222;@routerguy would be cooler if you cld configure a board and configure eac VM to a device., 1 Server, 10 VM's, 10 wireless touch lcd's 
223;@mercurystate yup and once i was all done.. left the company 
224;@Roommate_Wanted is/are socasitters and irishattic your other identities? 
225;@SoCASitters Add similar thing is Done  just pushing out the latest build
226;@sendchocolate was asking if u had any mnms (yes candy)..  eat some for me 
227;@SoCASitters would you want the same description? just wondering... 
228;oh Vs2008 how you mock me by not building 
229;in-n-out, tacobell or dell taco... cant decide 
230;@sendchocolate you are right, it is.. ,i love horror movies and have probably seen it.. wifey on the other hand has banned scifi  channel 
231;@squishable looking for a mascot for www.connectacle.com needs to be an octopus but the one youhave isnt cutting it  if u sign up ull see.
232;I'm installing redmine on my server so I can organize my life.  
233;time to blow dry my hair, then get something to eat. ready fo seee rob  haha, yes i'm a nerd.
234;jordan is asleep now. shower and a little meee time is in progress 
235;@stormixlynn giirl i need me a new bed! lmao i done broke my shit haha. 
236;ready for the mtv movie awards tonight  new moon movie trailor yayyyy
237;@alisabaez I don't like Miley. 
238;"FWD: I feel worse than i did after the fried pb&amp;j.  if u want i can come pick u up anyway though. i just dont wanna go out."
239;Hey I'm just gonna find another ride there because I'm running crazy late. 
240;"Revision mode  or annoying kati more like it ;) http://ff.im/3080t"
241;i need some advice    I can't forget my ex-boyfriend!!  I dunnoo What to do!!!!
242;"haha @isqueirobic: &quot;rb @zx10r07 i knew this one was coming  tks!!!&quot; ? http://blip.fm/~7tpkd"
243;"@Zarabeth: &quot;And some NIN aren't bad...&quot; &lt;--- all nin is great silly  ? http://blip.fm/~7qb6f"
244;"&lt;&gt; I had an amazing day today!    Thanks NiN!! &lt;&gt; | http://twitpic.com/6idnw | http://twitpic.com/6ihsm |"
245;back in the smog filled city of Toronto! No speeding tix for me! 
246;"Thanks ;) @SnakeLady: &quot;@YelleyHasNoPants: @zx10r07: FYI, here's the lyrics and meaning info.  http://bit.ly/... ? http://blip.fm/~7tj96"
247;@sartamexicana thank you!!  
248;I still can't get over Theremin cat: http://bit.ly/vQacm   
249;@stylesmith thanks for posting my sale in your blog!!    you're radically awesome to the max!
250;"@stylesmith oh I am!  Free shipping for the US &amp; Canada, 1/2 off for Int'l!    http://zwzzy.etsy.com oxox."
251;@jesvicious77 wah I wish I could go to LA!  I've been in the mood to go lately.  I'm too poor though 
252;just sold another branded license of tilt 
253;@tibbin: bahahaha! If by a few years u mean after my education and I make my first million (jk) then yes 
254;I just wish my otherside would miss me as well, just wishes though I guess 
255;"Just found my &quot;aswsutc vp&quot; name tag  *tear good times good times"
256;If you missed it, Gh. Karbaschi is a twitter now. Welcome @gkarbaschi  #iran #election WP: http://tinyurl.com/qfebrv
257;Only one fiddle player at pert near makes me sad 
258;Singing Broadway songs at the top of my lungs, in preparation for tonight's Tony Awards ceremony. 
259;@Alexanderlowe sneak a tweeting device in and update the world 
260;I feel like... I'm not gonna make it this year   
261;@spliffy novarock.. half of my friends are there, bastards 
262;headachey anna is not fun 
263;wondering if Google Wave http://wave.google.com/ and Adobe Wave http://bit.ly/mfwIg conflicts as product name 
264;I'm missing the war 
265;@missaster we took up the carpet in the front room and the wood in the entry. the entry was glued directly to the concrete 
266;@Kelsie_love  Carita is down in San Antonio if you need someone to rough him up
267;Getting the ball rolling. Very exciting 
268;linux accessrunner pci driver doesn't work with 2.6.30. 
269;@snorrick yea, I was wearing my oldest most worn out pair. I REALLY need to mow my grass today, but I don't think I'll be up to it now 
270;has now one thousand #Speed-Dating fans in its database. Yeesss.. 
271;"Is it just me or are those &quot;road wars&quot; (cop hidden camera) show just awesome? "
272;@eviltera So change them. You shouldn't have to go to vegas if you don't want to. You could try Chicago! 
273;@nscafe LOL. That became my desktop wallpaper yesterday. 
274;@nscafe no refunds in IL 
275;Weekend is almost over. Still a diner, and the train back home. 
276;Hell yeah, missed the train 
277;Wants to be on a waverunner so bad right now!  
278;A perfect sunday for MindEmptyness 
279;Great team ride yesterday! wish i could make it out for the ride today 
280;Tempo on tired legs, 3.5hr, 270W, 2500kJ. I wanted to do more, but the forecast is calling for rain 
281;I mention multilevel marketing and now i'm being inundated by a bunch of MLM peddlers  I hate that shit.
282;speakin of which, i need to be trying to sneak in some overtime 
283;Our Uni Challenge team just owned the gordon arms quiz. Best score ever and beat the second team by 11 points 
284;@herb1906 holy how I wish I was you. Pa is so cold 
285;Doesn't know how to use Twitter. 
286;Gooooooood morning to ya all! 
287;What a voice. I really enjoyed the Karnak questions. Both are gone now 
288;Completely voiceless today 
289;love the tattoos  - http://tinyurl.com/lv9zys
290;@JLVick That sounds horrible   Hope it gets fixed quickly!
291;@parisbroadway hey! welcome 
292;@THOIFANCLUB ehm...it's 22 today XD yes,tokio hotel's first time in italy *__* have a nice day you too 
293;I feel so strange... 
294;@mrdautay Chúc anh và gia ?ình twitter ng? ngon D?ng mà anh ?i v?n  thích ???c blog c?a a h?n, a còn dùng trang cá nhân nào n?a k 
295;@vivinyvil But will be back for hari raya 
296;Huahuahua... Making full use of unlimited data plan and Gravity 
297;For more info, please check my facebook latest status. Tyvm 
298;@vivinyvil its ok 
299;Am waiting... Gonna miss the fun i had in bintulu 
300;sad of the thought of leaving Bintulu and newly known friends 
301;on one of them i'm hoping i will not have many problems... but i'm so scared for the second one. wish me luck! please! i realle need it! 
302;@toby_stevens Yep  http://news.bbc.co.uk/1/hi/entertainment/8118426.stm
303;@tommcfly 's tweet made me miss thailand even more. 
304;I have bahts (?) in my wallet  I wanna cry
305;didn't get the dvd today either 
306;NIGHT! Finally  the mouse is sadly no longer with us.  i hit the garage, sorry. I feel mean :0
307;THE TEE'S ARE HERE!! and I can't open the package  I'm gonna die
308;"last day of school today. didn't get to say goodbye to susanne yday  &lt;3"
309;@hockeyband why cant you come to norway today instead of tomorrow? 
310;Last day @hove09 today  I want it to last longer
311;"@cessii AW &lt;3 Sorry.  I wanted to stay there too!"
312;I WANT MONDAY NOW!! 
313;and she didn't answer 
314;Just had a shower. Now im getting ready, then packing and then bedtime.. Gotta be up REALLY early tomorrow 
315;I HATE THAT WOMAN!! Herregud så muggen 
316;@cessii  I can't wait
317;WHY WON'T RAGNHILD ANSWER ME?! 
318;@TraceCyrus I love norway. I wanna go to oslo and see you guys live  but it's too far away
319;yay, i'm done. finally  now i have to pee  and i'm hungry too
320;Oh well, now she's here 
321;Omg this reminds me of an early morning in thailand  i miss thailand so much
322;happinessss 
323;gloomy weather...again 
324;@rushiparikh well im working today  and its sunday...and people are wnjoying the weather and im stuck in office 
325;@Scoreland yummy. I heard that today as well. Very weird. What did pizza do to lose it's job 
326;Happy Together  http://www.flickr.com/photos/pazuk/478981797/sizes/o/
327;"@ricdominy You can afford to fall off the wagon now and again.  We all need a &quot;reward&quot; for being good "
328;I'm not going to get much sleep tonight 
329;Evviva la Repubblica! Sorry, mir war einfach danach !!! 
330;"@wentworthmiller haha your awesome  &lt;3"
331;@crazyjack24 i cant do my normal day shows because my stepdad lost his job and cant realyl do them while he is home 
332;argh i feel sick, eaten too many grapes  hows every1 feeling 
333;I HATE my camera!!! I thought I had footage of me beating Serra on Xbox, but nope 
334;Watching the Phillies to end my weekend. Back to work in the morning 
335;@SharneseLaNier I am humbled that HE would call me.  It's the least we can all do... just answer. 
336;It's sad to vote for the less bad ... just because it's impossible to find a good one in Spain 
337;@Rachele77 no..... 
338;if I wrong SORRY , I really may be less sensitive as you . but should you angry like this 
339;is still waiting 
340;still waiting 
341;@ronnieeb horse back riding DOES sound great . have fun ! 
342;thxx @Sunnielove . i just added drake now 
343;Today has been OK 
344;maybe sleep ? why am i not tired DANGIT 
345;gooooodmorning twitter! gotta get started on my HOMEWORK thts due on Monday  No Bueno!
346;Oops, i meant - Follow Friday - Follow ME, cuz i think i'm cute  http://twitpic.com/674v8
347;@MissJia check some YOUTUBE tuts ... maybe that'll be easier to follow thru on 
348;now going to sleep @ 5:34 Am ... dis da life !! LOL 
349;welcome to twitter huda!! 
350;Roe's hereeeeeeeee yeay! But here should I take her? It's Miri, after all. 
351;Roe's hereeeeeeeee yeay! But where should I take her? It is Miri, after all. 
352;Watching The Bridge Video Music Box they Playing Fat Boys - Can You Feel It mad Old School Gotta love it!!! 
353;Going to see Hangover!!! Lol I wanna wake up in Vegas for Johannas Bachlorette Party this August 
354;@syazwishahif  hello my tweety bird -----  tweet tweet.
355;@Qilly @syazwishahif  acted what way? what barbeque? are you gonna invite me too?? i loveee meat. and chicken...  and smoke...?
356;squash was FUN! im going to attend toastmaster later. with syazwi. 
357;1. Business studies summary. 2. revision for maths MPR. 3. organizing my files and books....... but im still so lazy.. 
358;Finally got my faded jeans after searching it for so long. 
359;i'm waiting for 3 parcels to arrive in my mailbox. have i mentioned that i love receiving packages in my mail? 
360;I've so much going in my head now. School stuff, problems, worrying abt stuff and thinking of the boy. 
361;i'm wearing the new abaya to the office today. too bad Zahrein already went to office earlier-he didnt see me in it 
362;@kamal yup.. been tryin' to get her some mms 
363;@Firemint midnight in which timezone? i can't wait! 
364;@_jm Would have loved to but going to Taico Club 27hrs party and heading 2 Canada on Tuesday 
365;Goooood Morning!!! 
366;"Hmm... Thinking about maybe possibly singing the &quot;Bethlehemian Rhapsody&quot; for Fine Arts next year.. It would be magnificent "
367;@ColleenMontan i'll be praying that he continues to get better 
368;yay! out of shower without the attacking of robots. 
369;watching the devil wears prada. its making me feel fat.  but thats ok. i like miranda preisley. she's a badass.
370;Going to the mall. I don't really want to but whatever... My mom is making me. 
371;@Karl_Christoph its a good place to be 
372;I am the empitome of epic fail, just you know, more epic than fail. 
373;@newcastleblog this is a brilliant idea, can't wait til its all up and running 
374;ohh he's a pommy? 
375;but I wanna be sure 
376;haha movie theatre is playing from the sea. haven't heard this song in ages 
377;who's towning it tonight? 
378;@DazzleMeThis bitch, no. intreguing, quite. 
379;lozz 'the back window is fogging up already' me 'says a lot about us' 
380;im not even that big on footy, but I still want the blues to win cause im drinking with a couple of queenslanders tonight. 
381;@Wossy Im delighted you're show is coming to Australian television too 
382;just took some, in my opinion, amazing pics for my photo challenge from @Scream_Deafenin 
383;earlier today the trending topics were 'so you think you can' and staight under it 'save earl'. I found it highly amusing. 
384;and we all know horror sequals bomb 
385;@EskimoJoelted its great in moshpits too 
386;@EskimoJoelted always a plus haha, and sounds coool 
387;"my nose is frozen &gt;_&lt; and im getting hungry someone bring me kfc? "
388;anyone wanna come hunt down and stalk Matt Bellamy with me. seriously. 
389;okay seriously, someone come to Lily Allen next month? Second Sydney show. I'll love you forevuhhh 
390;@judez_xo sweet  ill let her know
391;just finished reading #six word memoirs 'not what I was planning' 
392;not that's id ever complain, they're the ones thgat don't make me sad. 
393;@judez_xo I thought so 
394;while I can complain that there's nothing on tv 
395;"@TownHallSteps1 indian butter&amp;mango chicken, ftw! "
396;@judez_xo I haven't been lying  who the hell lies via twitter? lol
397;bah! don't wanna work 
398;...And wtf carpathian?! no shows in Newcastle or Sydney? I miss you. 
399;I just slammed my elbow into a fridge, I did not find it humerous. 
400; lincoln won't chair dance with meee. hmph.
401;@kahlee I was always jealous of your monroe  haha
402;and of course I can find Queen of The Damned for under $10. Bah! I want Vampire Lestat! 
403;:o lincoln won't buy an original xbox so I can play oogie boogies revenge!  someone find it for me on ps2
404;@EskimoJoelted im serious! I kept reading all these tweets getting close to six foot and im all aww, im only 5'3  lolz
405;im in such a habit of working around my piercing. its so weird to realise I don't need to worry about knocking it. bah, I want it back! 
406;soso sore.  work soon. double 
407;@DazzleMeThis books with different covers 
408;I wanna go to Just on Friday. Stoopid fkn work. 
409;yeah, im the shortest person on twitter haha 
410;damn you abc, why must you play Dr Who on a Sunday while Im at work  hoping I finish at 730...
411;"@DazzleMeThis cause I has a cold now  Ive been sneezing all day &gt;_&lt;"
412;im tryin to take my piercing out  I so don't want to, but I sooo have too. devo'd
413;mum wouldn't buy me cowboy boots 
414;@EskimoJoelted oh nozzz, don't let on your drunk! she'll stop serving youu!  haha
415;I used to know tonnes of people in Sydney, now everyone's in Melbourne 
416;(8)back it up, back it up! ...Lozz changed the song on me 
417;http://twitpic.com/6j7mq - People I wished id seen, but was too broke 
418;im shattered they didn't get chips AND Itchy ate all the crispy strips 
419;amazing Muse is. its really quite depressing. 
420;@judez_xo your phone is always dying o_O mines still being gay and unsync'd 
421;@judez_xo well thats not fair. Ive wanted them since I was twelve. haha.  Like back when you could only really get surface piercings lol
422;dear @LincolnT a)stop snoring and b) move from the middle of the bed, please. 
423;@judez_xo thing I know Buffy has his.  lol
424;we're parked in from of a place with a 'sorry we're closed' sign out front. makes me miss Matty boy and his rants about nothing. 
425;so don't wanna go to work, wanna finish ma movie. 
426;its far too cold to be at work 
427;...WHY DID THEY CHANGE THE COVERS ON MY ANNE RICE BOOKS?  im gonna find out if I can order the old ones in
428;@kahlee lol I don't have alcohol here, I can't have a drunk sunday  lol
429;ebay you have failed me, does no one own a paperback version The Vampire Lestat by Anne Rice with the black cover? 
430;@kahlee I want to but have no way there or back 
431;@houzhou I'm on a holiday after had finished my final exam last week..  but I should start doin my final project tho..r u in holiday too?
432;"@adrence  always lazy to tidy up the house right? I know the feeling! lol..enjoy your weekend activities... ;)"
